,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
0,27,services,married,high.school,no,no,no,telephone,jun,mon,257,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
1,31,blue-collar,married,basic.9y,no,yes,no,cellular,apr,thu,257,2,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,no
2,42,blue-collar,divorced,high.school,no,no,yes,telephone,jun,thu,175,7,999,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,5228.1,no
3,39,admin.,single,high.school,no,no,no,telephone,jun,wed,213,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
4,30,admin.,single,basic.9y,no,yes,no,cellular,nov,thu,220,1,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no
5,40,technician,married,basic.9y,unknown,no,no,cellular,jul,mon,141,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no
6,44,blue-collar,married,basic.4y,no,no,no,cellular,aug,wed,438,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
7,60,unknown,married,basic.6y,unknown,no,no,telephone,jun,tue,104,7,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
8,34,admin.,married,university.degree,no,no,yes,cellular,dec,tue,196,2,6,2,success,-3.0,92.713,-33.0,0.7070000000000001,5023.5,yes
9,41,blue-collar,married,basic.9y,unknown,unknown,unknown,telephone,may,thu,52,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
10,34,blue-collar,married,basic.9y,no,yes,no,telephone,may,fri,243,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
11,30,technician,single,university.degree,no,yes,no,cellular,aug,mon,14,13,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
12,38,admin.,divorced,high.school,no,yes,yes,cellular,jul,fri,164,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
13,59,retired,married,unknown,no,no,yes,cellular,aug,fri,88,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
14,31,unemployed,single,basic.4y,no,yes,no,telephone,nov,fri,144,9,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
15,38,technician,married,basic.9y,no,yes,no,telephone,may,mon,170,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
16,32,admin.,married,university.degree,no,yes,no,cellular,nov,fri,78,1,999,1,failure,-0.1,93.2,-42.0,4.021,5195.8,no
17,26,admin.,single,high.school,no,no,no,cellular,may,mon,610,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,yes
18,58,services,married,basic.6y,no,yes,no,cellular,apr,mon,41,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
19,32,blue-collar,married,high.school,unknown,no,no,telephone,jun,mon,353,2,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
20,59,blue-collar,married,basic.4y,unknown,unknown,unknown,cellular,jul,mon,416,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no
21,27,student,single,high.school,unknown,no,no,telephone,may,thu,158,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
22,45,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,thu,263,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
23,41,self-employed,divorced,university.degree,no,no,no,cellular,nov,tue,349,1,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no
24,41,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,83,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
25,41,admin.,divorced,university.degree,no,no,no,cellular,aug,tue,141,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
26,32,blue-collar,married,basic.6y,unknown,no,yes,telephone,jul,fri,191,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.959,5228.1,no
27,58,retired,married,basic.4y,unknown,yes,no,telephone,jun,mon,50,1,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no
28,74,retired,divorced,basic.4y,no,yes,no,cellular,aug,wed,536,1,13,1,success,-2.9,92.20100000000001,-31.4,0.8540000000000001,5076.2,yes
29,50,blue-collar,married,basic.6y,unknown,no,no,cellular,may,fri,103,6,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no
30,32,admin.,single,university.degree,unknown,no,no,telephone,may,tue,215,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
