,distance,speed,temp_inside,temp_outside,specials,gas_type,AC,rain,sun,refill liters,refill gas,consume
0,12.3,41,22.5,7,,E10,0,0,0,,,4.8
1,2.0,21,21.5,4,,SP98,0,0,0,,,9.9
2,12.4,24,21.5,7,,SP98,0,0,0,,,5.4
3,11.8,44,21.5,0,,E10,0,0,0,,,4.9
4,17.3,24,21.5,5,,E10,0,0,0,,,5.1
5,32.0,53,22.0,15,,SP98,0,0,0,,,4.9
6,4.8,26,25.0,18,,E10,0,0,0,,,4.7
7,16.3,58,22.0,16,,SP98,0,0,0,,,4.5
8,24.8,55,23.0,3,,SP98,0,0,0,,,4.6
9,7.4,31,22.5,12,,E10,0,0,0,,,5.0
10,11.8,43,22.5,1,,SP98,0,0,0,,,5.0
11,38.5,63,21.5,14,,SP98,0,0,0,,,4.8
12,16.0,41,22.0,11,,SP98,0,0,0,,,4.5
13,12.9,40,23.0,4,,SP98,0,0,0,,,5.8
14,11.8,29,21.5,5,rain,SP98,0,1,0,,,5.1
15,12.3,58,21.5,13,,E10,0,0,0,,,5.4
16,12.5,57,22.5,16,sun,E10,0,0,1,,,4.3
17,16.8,46,21.5,8,,E10,0,0,0,,,4.0
18,17.9,37,21.5,1,,E10,0,0,0,,,5.7
19,51.6,73,22.5,12,,E10,0,0,0,,,5.0
20,12.2,57,23.0,0,snow,SP98,0,1,0,,,6.3
21,67.2,67,22.0,18,,E10,0,0,0,,,4.3
22,11.8,37,21.5,4,AC,SP98,1,0,0,,,4.5
23,16.6,43,21.5,16,,E10,0,0,0,,,3.8
24,12.1,33,22.5,5,,SP98,0,0,0,,,4.4
25,29.0,27,22.5,12,,SP98,0,0,0,,,4.0
26,39.0,61,22.0,16,,SP98,0,0,0,,,4.1
27,37.2,45,22.0,20,sun,SP98,0,0,1,,,4.0
28,25.9,39,21.5,8,,E10,0,0,0,,,4.9
29,12.3,55,21.5,12,,SP98,0,0,0,,,5.2
30,24.7,56,25.0,1,,SP98,0,0,0,,,5.5
31,16.1,36,22.0,18,rain,SP98,0,1,0,,,4.8
32,1.3,21,20.0,10,,SP98,0,0,0,,,11.5
33,13.0,32,22.5,4,,SP98,0,0,0,,,6.2
34,13.2,51,20.0,11,rain,SP98,0,1,0,,,4.3
35,25.9,43,22.0,24,,SP98,0,0,0,,,4.1
36,4.9,26,21.5,4,,E10,0,0,0,,,6.4
37,12.8,22,22.5,12,,SP98,0,0,0,,,4.6
38,12.3,52,21.5,8,rain,SP98,0,1,0,,,5.7
39,13.0,32,22.5,10,,E10,0,0,0,,,5.9
40,56.1,82,22.0,13,,SP98,0,0,0,,,4.8
41,48.6,44,22.0,12,,SP98,0,0,0,,,4.3
42,216.1,90,22.0,21,sun,SP98,0,0,1,,,5.3
43,15.4,39,22.0,23,,SP98,0,0,0,,,4.3
44,12.1,36,21.5,8,,E10,0,0,0,,,5.7
45,11.9,34,22.0,13,,SP98,0,0,0,,,5.3
46,16.0,42,22.0,8,,SP98,0,0,0,,,3.9
47,12.3,55,22.5,10,,SP98,0,0,0,,,5.2
48,24.8,50,21.5,9,,SP98,0,0,0,,,5.1
49,11.9,33,25.0,19,,SP98,0,0,0,,,3.7
50,12.4,55,21.5,7,AC rain,E10,1,1,0,,,4.0
51,130.3,85,22.0,12,,E10,0,0,0,,,4.6
52,12.2,60,20.0,11,,SP98,0,0,0,,,5.8
53,11.5,53,22.0,15,,SP98,0,0,0,,,5.3
54,93.9,88,23.0,18,AC sun,E10,1,0,1,,,4.8
55,31.9,33,22.0,16,,SP98,0,0,0,,,4.3
56,12.4,38,22.5,1,,E10,0,0,0,,,4.8
57,10.8,48,22.0,17,sun,SP98,0,0,1,,,4.7
58,12.2,58,23.0,2,,SP98,0,0,0,,,5.8
59,22.4,66,20.5,7,,SP98,0,0,0,,,4.9
60,12.4,55,22.5,14,sun,E10,0,0,1,,,4.7
61,43.7,44,22.0,9,half rain half sun,SP98,0,1,0,10.0,SP98,4.7
62,12.9,35,,9,,SP98,0,0,0,,,5.7
63,18.8,62,,9,rain,SP98,0,1,0,,,5.0
64,16.0,40,22.0,10,,SP98,0,0,0,,,3.9
65,12.3,55,21.5,8,,SP98,0,0,0,,,5.4
66,21.6,44,21.5,9,rain,E10,0,1,0,,,5.3
67,16.0,46,22.0,17,,SP98,0,0,0,,,4.1
68,18.7,65,25.0,18,sun ac,SP98,1,0,1,,,4.2
69,26.2,71,21.0,8,AC rain,SP98,1,1,0,,,5.8
70,15.4,42,25.0,31,AC,SP98,1,0,0,,,4.6
71,19.0,58,22.5,17,sun,SP98,0,0,1,,,4.4
72,16.4,49,21.5,5,,E10,0,0,0,,,4.8
73,13.9,22,20.0,8,,SP98,0,0,0,,,5.6
74,10.6,63,21.5,6,,SP98,0,0,0,,,4.9
75,15.9,46,21.5,5,,SP98,0,0,0,,,5.7
76,38.6,44,22.5,10,,E10,0,0,0,,,4.6
77,16.9,48,22.5,9,sun,E10,0,0,1,,,4.5
78,31.5,30,22.5,16,sun,E10,0,0,1,,,4.1
79,5.5,33,24.5,28,sun,SP98,0,0,1,,,3.7
80,5.3,34,,9,,SP98,0,0,0,,,4.1
81,20.8,45,21.5,10,,E10,0,0,0,,,4.5
82,129.7,58,24.0,21,ac,E10,0,0,0,,,4.6
83,14.2,36,20.0,6,,SP98,0,0,0,,,5.4
84,32.6,40,21.5,7,,E10,0,0,0,,,4.8
85,12.3,50,22.5,0,,E10,0,0,0,,,4.9
86,21.1,43,21.5,7,,E10,0,0,0,,,4.8
87,17.2,35,22.0,16,,E10,0,0,0,,,3.9
88,12.3,62,21.5,6,,E10,0,0,0,,,5.9
89,9.9,28,21.5,9,,E10,0,0,0,,,5.0
90,43.5,80,21.5,3,,E10,0,0,0,,,5.0
91,12.3,51,21.5,11,,E10,0,0,0,,,5.3
92,14.1,22,20.0,12,,SP98,0,0,0,,,5.0
93,17.3,22,22.0,25,sun,SP98,0,0,1,,,4.1
94,16.2,29,21.0,0,,E10,0,0,0,,,5.2
95,28.5,44,25.0,23,ac,SP98,1,0,0,,,4.0
96,12.4,43,,10,,SP98,0,0,0,,,4.7
97,16.0,43,22.0,19,,SP98,0,0,0,,,3.6
98,12.4,57,21.5,8,,SP98,0,0,0,,,4.7
99,24.8,56,22.5,11,,SP98,0,0,0,,,4.0
100,16.6,52,22.0,15,rain,SP98,0,1,0,,,4.2
101,11.8,28,22.5,12,,E10,0,0,0,,,4.5
102,5.1,39,21.5,4,,E10,0,0,0,,,8.1
103,12.3,61,21.5,10,rain,SP98,0,1,0,,,6.1
104,16.2,39,24.5,17,ac,SP98,1,0,0,,,4.4
105,33.4,36,21.5,3,,E10,0,0,0,,,5.6
106,58.7,75,21.0,0,,E10,0,0,0,,,4.8
107,16.1,38,25.0,31,AC,SP98,1,0,0,,,4.3
108,7.0,25,21.5,17,,E10,0,0,0,,,5.2
109,11.8,40,21.5,4,,E10,0,0,0,,,4.7
110,44.4,38,21.5,8,,E10,0,0,0,38.3,E10,4.8
111,17.4,30,21.5,5,,SP98,0,0,0,,,5.1
