Post date,Age,ReviewRating,ProfilePhoto,Tokens,Characters,Paragraphs,Sentences,Sentences per Paragraph,Tokens per Sentence,Characters per Token,Passive Sentences,HardToSpellWords,SimilarWords,NetLingo,Nouns,Verbs,Adverbs,Adjectives,Polarity ,FLESCH_READING,FLESCH_KINCAID,ARI,COLEMAN_LIAU,GUNNING_FOG,SMOG_INDEX,COMPLEXWORDS,SYLLABLES,Smileys,HashTags,SpellMistakes,StopWords,TitleDepth,TitlePolarity,AboutDisclosure,BadgeCount,MemberSince,Past Ratings,AveragPastRatings,PastReviews,HelpfulVotes  ,TotalVotes,Helpfulness,Label
9/20/2017,32,0,1,145,704,2,8,4,18.1,4.7,61.8,0,0,0,100,0,0,0,0,-47.98,20.2,26.17,13.1,40.4,8.477,1,3,0,0,100,0,10,-0.678333333,0,4,1.6,321.00,6.165109,332.00,74,110,67.27272727,High
9/24/2017,28,3,1,146,688,2,7,3.5,20.8,4.5,61.4,2.409638554,31.92771084,0,16.33986928,0.653594771,8.496732026,11.11111111,0.860524835,61.729,9.245,9.429,10.222,11.6,10.984,17,221,0.598802395,0,0.602409639,49.39759036,8,0.25,0,4,1.6,321.00,6.165109,332.00,59,94,62.76595745,High
9/20/2017,32,7,1,405,1.845,4,13,3.2,31.1,4.4,52.3,2.247191011,32.58426966,0,7.590759076,1.650165017,4.620462046,5.280528053,0.521850282,59.047,10.276,9.859,9.108,12.8,11.536,17,221,0.289855072,0,1.685393258,45.50561798,4,0.375,0,4,1.6,321.00,6.165109,332.00,51,80,63.75,High
9/20/2017,32,8,1,67,302,1,3,3,22.3,4.4,69.2,1.590909091,32.04545455,0,6.136680614,2.789400279,4.323570432,5.29986053,4.553916157,47.26,15.95,17.811,9.91,18.8,14.078,45,591,0.127388535,0,3.636363636,52.04545455,15,0.698388605,0,4,1.6,321.00,6.165109,332.00,50,82,60.97560976,High
9/29/2017,23,6,1,338,1.739,1,1,1,336,5,0,0,29.48717949,0,1.394169835,0.380228137,0.633713561,1.140684411,1.562937201,71.999,9.096,9.641,7.258,12.4,10.746,6,93,0.115874855,0,3.846153846,55.12820513,31,-0.175934859,0,4,1.6,321.00,6.165109,332.00,24,33,72.72727273,High
9/20/2017,32,7,1,465,2.133,7,14,2,33.2,4.5,49.2,1.62601626,39.83739837,0,4.214223003,0.877963126,2.985074627,3.511852502,1.959408539,-104.826,71.48,88.971,12.526,76,31.983,56,554,0.081168831,0,2.7100271,50.67750678,9,0,0,4,1.6,321.00,6.165109,332.00,40,65,61.53846154,High
9/21/2017,31,7,1,493,2.319,10,19,1.9,25.9,4.5,53.3,1.40562249,40.16064257,0,4.925187032,1.122194514,1.433915212,2.244389027,0.028995266,49.44,14.668,16.318,10.504,16.8,12.82,45,683,0.115606936,0,6.827309237,50,13,-0.215,0,4,1.6,321.00,6.165109,332.00,31,49,63.26530612,High
9/23/2017,29,1,1,115,500,1,8,8,14.3,4.1,74.5,1.592920354,36.46017699,0,3.215130024,0.661938534,1.229314421,1.938534279,0.27461648,57.621,11.196,11.383,9.198,14,12.103,58,745,0.261437908,0,4.778761062,46.54867257,10,0.193181818,0,4,1.6,321.00,6.165109,332.00,41,73,56.16438356,Low
9/24/2017,28,2,1,170,815,1,7,7,21.5,4.6,57.7,1.503759398,33.83458647,0,0.715883669,0.268456376,0.402684564,0.268456376,-1.449257302,73.455,7.166,5.968,7.012,9.2,9.211,9,161,0.247116969,0,1.503759398,42.85714286,15,0,0,4,1.6,321.00,6.165109,332.00,45,81,55.55555556,Low
9/21/2017,31,0,0,273,1.403,4,11,3.6,24.4,5,42,1.069518717,29.94652406,0,0.830564784,0.373754153,1.03820598,0.415282392,-0.062399364,54.807,10.987,11.054,10.301,13.2,11.874,21,266,0.267686424,0,1.069518717,52.94117647,7,0.250151369,0,8,9,1175.00,7.502979,106.00,45,82,54.87804878,Low
9/23/2017,29,8,0,236,1.017,5,20,5,11.7,4.1,75,0.952380952,45.07936508,0,1.674107143,0.446428571,0.520833333,1.227678571,2.584303142,48.301,12.298,12.766,11.426,15.6,13.84,47,445,0.341296928,0,7.936507937,36.50793651,6,0.06,0,8,9,1175.00,7.502979,106.00,11,15,73.33333333,High
9/24/2017,28,4,0,429,2.193,9,15,1.6,28.6,4.9,36.2,1.851851852,27.77777778,0,1.057659502,0.307062436,0.716479017,0.545888775,1.908888023,76.371,5.482,3.312,5.905,8,8.855,24,341,0.3125,0,2.962962963,50.37037037,4,0,0,8,9,1175.00,7.502979,106.00,22,37,59.45945946,Low
